Name,Sex,Age,Height,Colour,Buy_Hour
Millie,F,34,33,Eastern Europe,7
Viviana,F,9,30,Australia and New Zealand,6
Marena,F,39,15,Latin America and the Caribbean,15
Ronald,M,14,35,Western Europe,2
Mella,F,2,34,Latin America and the Caribbean,19
Antonio,M,5,4,Latin America and the Caribbean,24
Alyce,F,30,20,Latin America and the Caribbean,15
Leontyne,F,23,40,Sub-Saharan Africa,12
Loretta,F,25,23,Sub-Saharan Africa,1
Curcio,M,35,36,Sub-Saharan Africa,2
Carroll,M,42,29,Sub-Saharan Africa,22
Ange,F,22,2,Sub-Saharan Africa,17
Alyce,F,8,28,Polynesia,21
Gunther,M,7,24,Latin America and the Caribbean,19
Dollie,F,20,9,Latin America and the Caribbean,0
Anselma,F,19,33,Micronesia,14
Hayyim,M,36,15,Western Europe,15
Bruno,M,6,37,Sub-Saharan Africa,19
Corry,F,35,14,South-eastern Asia,21
Krysta,F,14,13,Northern Europe,10
Corney,M,20,41,Latin America and the Caribbean,16
Antonino,M,32,7,Sub-Saharan Africa,3
Gnni,F,21,27,Southern Europe,11
Jeffry,M,18,27,Southern Europe,27
Valina,F,16,6,Southern Europe,18
Tallie,F,39,18,Latin America and the Caribbean,6
Aldridge,M,41,38,Latin America and the Caribbean,9
Stearn,M,7,3,Latin America and the Caribbean,8
Rodina,F,31,1,Western Asia,7
Donnell,M,15,21,Sub-Saharan Africa,15
Whitaker,M,7,24,Southern Asia,3
Karia,F,22,20,Southern Asia,15
Marlee,F,26,3,South-eastern Asia,25
Bobby,M,8,32,Western Europe,9
Kacey,F,9,25,Polynesia,5
Emmy,M,8,13,Latin America and the Caribbean,8
Fleming,M,24,5,Northern Africa,12
Poppy,F,8,36,Latin America and the Caribbean,16
Hadlee,M,13,39,Sub-Saharan Africa,9
Howard,M,14,29,Sub-Saharan Africa,11
Zondra,F,22,31,Latin America and the Caribbean,9
Rowan,M,24,17,Micronesia,7
Benedetto,M,10,33,Northern Europe,8
Davidson,M,23,3,Western Asia,6
Regine,F,21,42,Southern Europe,19
Batsheva,F,13,6,Latin America and the Caribbean,13
Shermy,M,1,21,Polynesia,9
Birgit,F,22,2,Sub-Saharan Africa,20
Haze,M,15,24,Southern Europe,10
Rosalie,F,39,37,Western Asia,11
Evelin,M,20,6,Eastern Europe,-10
Jessee,M,5,14,South-eastern Asia,18
Barby,F,18,8,Eastern Europe,3
Hodge,M,28,36,Eastern Europe,14
Zulema,F,34,33,Latin America and the Caribbean,10
Madonna,F,14,27,Micronesia,4
Clarita,F,16,21,Western Europe,-4
Adelaida,F,27,13,Western Asia,17
Felic,M,6,24,Latin America and the Caribbean,7
Galvan,M,20,9,Latin America and the Caribbean,9
Dot,F,21,17,Western Europe,0
Lorry,M,28,35,Southern Europe,12
Clare,M,31,10,Micronesia,3
Zorina,F,2,33,Sub-Saharan Africa,12
Merill,M,9,10,Southern Asia,9
Simone,M,31,39,Latin America and the Caribbean,6
Keene,M,26,14,Northern Europe,7
Marten,M,32,15,Sub-Saharan Africa,10
Libbey,F,13,3,Sub-Saharan Africa,4
Holly-anne,F,35,19,Western Asia,18
Linette,F,39,2,Latin America and the Caribbean,7
Ephraim,M,24,41,Latin America and the Caribbean,7
Derek,M,0,15,Eastern Europe,6
Nobe,M,9,10,Western Europe,5
Abigale,F,25,10,Sub-Saharan Africa,23
Jessey,M,22,2,Latin America and the Caribbean,13
Wilmar,M,4,10,Southern Asia,17
Ellswerth,M,15,25,Southern Europe,20
Boonie,M,30,11,Latin America and the Caribbean,11
Tillie,F,1,30,South-eastern Asia,11
Had,M,27,3,Micronesia,13
Jan,M,5,10,Micronesia,21
Hilly,M,24,35,Australia and New Zealand,11
Myrta,F,8,22,Western Asia,4
Johna,F,23,19,Eastern Europe,7
Muhammad,M,11,15,Australia and New Zealand,-2
Benjamin,M,7,14,Eastern Asia,24
Madella,F,41,40,Western Asia,19
Kellby,M,38,19,Sub-Saharan Africa,8
Granger,M,3,21,Latin America and the Caribbean,12
Edsel,M,20,9,Latin America and the Caribbean,14
Teresina,F,37,8,Sub-Saharan Africa,29
Darcee,F,5,23,Latin America and the Caribbean,21
Perrine,F,9,27,Northern Europe,11
Dewitt,M,37,10,Sub-Saharan Africa,7
Hilly,M,37,30,Micronesia,15
Gabriela,F,24,11,Sub-Saharan Africa,22
Lyndell,F,29,39,Eastern Europe,15
Analiese,F,17,30,Australia and New Zealand,9
Flore,F,2,35,Polynesia,16
Papageno,M,20,10,Latin America and the Caribbean,16
Anders,M,37,8,Latin America and the Caribbean,-5
Ariella,F,7,5,South-eastern Asia,6
Meredith,M,0,39,Eastern Europe,15
Rosalinda,F,6,2,Northern Europe,18
Beatrix,F,16,22,Australia and New Zealand,9
Afton,F,35,25,Western Asia,15
Lemmy,M,17,19,Micronesia,8
Aloin,M,29,23,Northern Africa,8
Morey,M,41,28,Western Europe,33
Mercy,F,21,38,Northern Europe,1
Vachel,M,7,12,Latin America and the Caribbean,9
Deni,F,33,34,Sub-Saharan Africa,10
Isaiah,M,3,31,Western Europe,7
Lora,F,38,41,Sub-Saharan Africa,7
Dulsea,F,15,19,Western Asia,12
Laurence,M,18,12,Sub-Saharan Africa,28
Germain,M,34,31,Eastern Europe,1
Carole,F,30,39,Northern Africa,12
Katy,F,26,3,Western Asia,6
Leonard,M,5,27,Southern Asia,17
Nanon,F,5,28,Eastern Europe,-1
Bertha,F,5,8,Latin America and the Caribbean,18
Tamqrah,F,8,40,Eastern Asia,5
Walliw,F,34,17,Western Asia,-6
Demetra,F,12,20,Sub-Saharan Africa,13
Niven,M,7,13,Sub-Saharan Africa,25
Lisle,M,31,39,Latin America and the Caribbean,17
Andy,F,4,34,Sub-Saharan Africa,7
Marcelle,F,11,10,Sub-Saharan Africa,7
Forrest,M,27,38,Latin America and the Caribbean,7
Rog,M,14,11,Northern Africa,5
Darleen,F,19,25,Sub-Saharan Africa,14
Willi,M,23,22,Sub-Saharan Africa,8
Conan,M,28,2,Sub-Saharan Africa,20
Davin,M,32,24,Sub-Saharan Africa,10
Nixie,F,1,24,Polynesia,8
Armin,M,11,19,Western Asia,5
Nyssa,F,41,10,Western Asia,10
Vitoria,F,4,6,Sub-Saharan Africa,17
Terrance,M,29,30,Sub-Saharan Africa,2
Chan,M,17,1,Northern America,17
Calv,M,1,6,Sub-Saharan Africa,2
Manya,F,37,26,Sub-Saharan Africa,9
Kassia,F,25,3,Southern Europe,17
Pepe,M,17,40,Polynesia,22
Ben,M,12,16,South-eastern Asia,4
Andie,F,35,5,Sub-Saharan Africa,18
Ediva,F,13,4,Northern Europe,13
Joann,F,30,41,Latin America and the Caribbean,17
Hewett,M,27,18,Northern America,14
Catharina,F,9,31,Southern Europe,-7
Hollis,M,14,20,Eastern Asia,13
Janetta,F,26,41,Southern Asia,20
Ashly,F,30,30,Western Asia,7
Luisa,F,16,6,Western Asia,6
Minda,F,33,38,South-eastern Asia,14
Willamina,F,26,19,Latin America and the Caribbean,14
Dynah,F,23,7,Latin America and the Caribbean,-1
Bobinette,F,6,14,Sub-Saharan Africa,14
Norris,M,27,30,Western Europe,29
Katya,F,33,33,Latin America and the Caribbean,6
Forrester,M,33,10,Southern Europe,4
Lars,M,11,23,South-eastern Asia,8
Chevy,M,7,28,Latin America and the Caribbean,8
Mikol,M,30,23,Southern Europe,8
Dedie,F,20,20,Latin America and the Caribbean,20
Hanson,M,10,34,Western Asia,3
Aime,F,0,30,Sub-Saharan Africa,17
Anthiathia,F,12,6,Northern Europe,9
Hildy,F,12,17,Sub-Saharan Africa,15
Philippine,F,10,41,Latin America and the Caribbean,27
Brion,M,24,24,Southern Europe,4
Nonnah,F,41,30,Northern Europe,18
Alexia,F,7,21,Southern Europe,12
Susy,F,25,29,Latin America and the Caribbean,15
Alard,M,7,3,Latin America and the Caribbean,10
Cordelie,F,25,3,Western Asia,14
Bunni,F,9,21,Southern Asia,3
Avery,M,10,24,Sub-Saharan Africa,12
Caddric,M,18,16,Southern Europe,10
Tamara,F,30,22,Sub-Saharan Africa,5
Janine,F,12,42,Central Asia,8
Jourdain,M,30,11,Micronesia,19
Gael,F,35,10,Sub-Saharan Africa,20
Sorcha,F,19,23,Western Asia,9
Lorette,F,27,14,Sub-Saharan Africa,-4
Gipsy,F,10,3,Australia and New Zealand,11
Rorke,M,7,40,South-eastern Asia,11
Caro,F,30,25,Southern Asia,26
Fair,M,28,19,Sub-Saharan Africa,11
Deeyn,F,13,24,Sub-Saharan Africa,22
Englebert,M,4,27,Northern America,20
Candra,F,8,25,Polynesia,1
Ricki,F,7,27,Melanesia,12
Anette,F,11,5,Southern Asia,25
Bryn,F,26,39,Australia and New Zealand,20
Dory,F,29,13,Latin America and the Caribbean,2
Thane,M,3,39,Northern Europe,12
Anselm,M,29,30,Southern Europe,19
Ashby,M,36,10,Sub-Saharan Africa,10
Alvie,M,4,11,Latin America and the Caribbean,15
Abel,M,1,30,Sub-Saharan Africa,14
Dare,M,29,23,Southern Europe,19
Sherrie,F,15,2,Sub-Saharan Africa,21
Cornell,M,29,2,Southern Asia,13
Ina,F,41,27,Micronesia,29
Josselyn,F,35,38,Western Asia,19
Langsdon,M,28,41,South-eastern Asia,16
Orelie,F,40,6,South-eastern Asia,15
Neda,F,4,2,Sub-Saharan Africa,14
Finn,M,0,31,Western Europe,7
Trevar,M,3,15,Latin America and the Caribbean,11
Sybil,F,42,14,Sub-Saharan Africa,4
Florella,F,14,27,Northern Africa,24
Roxie,F,8,22,Northern Europe,0
Georgi,M,8,32,Latin America and the Caribbean,21
Angil,F,21,11,Latin America and the Caribbean,3
Roda,F,8,15,Southern Europe,5
Vasilis,M,19,4,Melanesia,5
Aubrey,M,3,40,Southern Europe,11
Gert,F,13,9,Latin America and the Caribbean,13
Harrison,M,13,7,Sub-Saharan Africa,10
Tadeas,M,16,33,Latin America and the Caribbean,24
Standford,M,17,16,Sub-Saharan Africa,18
Park,M,41,20,Northern Africa,33
Meredeth,M,34,21,Sub-Saharan Africa,2
Celie,F,2,7,Sub-Saharan Africa,13
Tildi,F,22,1,Sub-Saharan Africa,15
Neddy,M,30,17,Western Asia,7
Raimund,M,5,13,Southern Asia,10
Viki,F,26,17,Sub-Saharan Africa,18
Taylor,M,17,25,Sub-Saharan Africa,3
Willard,M,27,41,Latin America and the Caribbean,15
Daven,M,18,26,Western Asia,5
Andrey,M,2,42,Latin America and the Caribbean,-3
Ad,M,0,27,Latin America and the Caribbean,16
Pepe,M,39,6,Polynesia,-1
Raf,F,37,23,Latin America and the Caribbean,11
Roobbie,F,17,31,Sub-Saharan Africa,11
Alane,F,6,31,Polynesia,13
Aubrey,M,37,26,Latin America and the Caribbean,5
Tibold,M,34,3,Australia and New Zealand,20
Dalston,M,11,34,Latin America and the Caribbean,11
Marcus,M,5,24,Southern Asia,20
Rodrick,M,38,32,Latin America and the Caribbean,13
Godfree,M,30,5,Southern Europe,-1
Kassey,F,38,23,Northern Europe,-4
Tito,M,29,24,Sub-Saharan Africa,19
Kissee,F,16,25,Latin America and the Caribbean,13
Carol-jean,F,40,33,Polynesia,3
Reagen,M,13,34,Micronesia,16
Dniren,F,5,32,Central Asia,31
Joseito,M,14,30,Sub-Saharan Africa,18
Shandeigh,F,20,29,Micronesia,2
Meggy,F,14,39,Northern Africa,9
Julia,F,4,34,Sub-Saharan Africa,9
Craggy,M,9,19,Southern Europe,14
Puff,M,0,39,Latin America and the Caribbean,-2
Moselle,F,38,28,Western Asia,7
Petey,M,22,4,Northern Europe,9
Sherie,F,30,25,Latin America and the Caribbean,8
Arney,M,13,37,Sub-Saharan Africa,13
Ailbert,M,14,38,Latin America and the Caribbean,5
Fidelity,F,0,21,Southern Asia,12
Jase,M,10,26,Latin America and the Caribbean,9
Carmen,F,8,12,Southern Europe,14
Aeriel,F,3,19,Southern Europe,5
Brod,M,1,27,Micronesia,-2
Tana,F,36,8,Sub-Saharan Africa,-2
Romonda,F,35,25,Sub-Saharan Africa,22
Tamara,F,34,37,Sub-Saharan Africa,17
Hilda,F,6,26,Sub-Saharan Africa,23
Georgeanne,F,41,24,Western Asia,9
Jan,M,11,33,Sub-Saharan Africa,16
Forrester,M,11,42,Western Asia,23
Crysta,F,16,13,Sub-Saharan Africa,9
Michel,F,5,6,Latin America and the Caribbean,18
Ursuline,F,13,25,Northern Europe,6
Ashton,M,31,12,Southern Europe,22
Norton,M,3,16,Northern America,7
Patience,F,9,7,Sub-Saharan Africa,16
Allix,F,27,39,Latin America and the Caribbean,11
Kerr,M,21,41,Sub-Saharan Africa,16
Elyssa,F,40,0,Latin America and the Caribbean,29
Hermon,M,21,40,Latin America and the Caribbean,25
Cornie,M,19,40,Sub-Saharan Africa,11
Whit,M,16,18,Latin America and the Caribbean,14
Cahra,F,25,3,Micronesia,14
Raphaela,F,11,36,Northern Africa,6
Barri,M,1,34,Polynesia,4
West,M,29,34,Western Asia,17
Matilde,F,11,1,Polynesia,17
Corabel,F,13,29,Sub-Saharan Africa,6
Base,M,21,41,Central Asia,9
Rafaello,M,5,17,Eastern Europe,13
Ingaberg,F,7,22,Sub-Saharan Africa,13
Constantine,M,39,35,Northern America,7
Hannie,F,9,32,Latin America and the Caribbean,13
Thorin,M,28,32,Eastern Asia,17
Lynett,F,12,24,Western Europe,18
Bone,M,30,26,Melanesia,23
Ceciley,F,29,8,Western Asia,8
Thorvald,M,35,28,South-eastern Asia,10
Nert,F,37,0,Southern Asia,6
Asia,F,34,29,Micronesia,7
Gasparo,M,33,21,Southern Europe,17
Clareta,F,32,18,Sub-Saharan Africa,4
Aretha,F,18,5,Latin America and the Caribbean,21
Adams,M,15,4,Southern Europe,7
Charlotte,F,4,35,Latin America and the Caribbean,3
Kerri,F,2,16,Latin America and the Caribbean,15
Marlin,M,5,18,Western Europe,6
Joletta,F,33,34,Western Asia,12
Ashlan,F,29,24,Australia and New Zealand,12
Kirk,M,1,23,Melanesia,10
Rutledge,M,25,15,Sub-Saharan Africa,16
Reynold,M,38,35,Polynesia,19
Charlton,M,29,14,Sub-Saharan Africa,27
Garfield,M,11,5,Melanesia,17
Christiana,F,30,37,Sub-Saharan Africa,14
Ogdan,M,15,1,Sub-Saharan Africa,18
Cleo,F,13,28,Latin America and the Caribbean,9
Bary,M,25,35,Western Asia,15
Noby,M,28,39,Northern Europe,20
Liesa,F,41,16,Melanesia,2
Evelyn,M,42,35,Latin America and the Caribbean,12
Dyna,F,13,18,Western Europe,5
Julie,M,33,0,Sub-Saharan Africa,11
Gaven,M,11,35,Sub-Saharan Africa,25
Gardiner,M,40,13,Micronesia,8
Lexis,F,26,4,Eastern Europe,4
Fidelity,F,9,41,Eastern Asia,12
Cathrin,F,1,3,Polynesia,12
Dov,M,31,14,Latin America and the Caribbean,11
Trixy,F,30,13,Northern Europe,24
Douglass,M,24,17,Southern Europe,12
Jobyna,F,34,16,Western Europe,3
Benedikt,M,3,40,Northern Europe,17
Fletch,M,3,35,Sub-Saharan Africa,12
Violante,F,42,29,Sub-Saharan Africa,16
Samara,F,9,0,Northern Africa,0
Vinni,F,23,28,Latin America and the Caribbean,9
Dene,M,23,21,Latin America and the Caribbean,16
Cindee,F,29,32,Sub-Saharan Africa,11
Lorraine,F,42,8,Sub-Saharan Africa,14
Ambrosi,M,3,12,Southern Asia,19
Jodi,M,17,27,Micronesia,8
Abigael,F,25,4,Latin America and the Caribbean,16
Josias,M,6,17,Northern Europe,6
Skyler,M,25,27,Latin America and the Caribbean,23
Dasha,F,7,21,Latin America and the Caribbean,18
Susette,F,9,0,Polynesia,22
Saul,M,27,29,Sub-Saharan Africa,16
Amata,F,13,19,Micronesia,13
Janeen,F,18,17,Australia and New Zealand,19
Basile,M,19,8,Polynesia,10
Franzen,M,41,32,Northern Europe,8
Nealon,M,30,4,Southern Europe,9
Johnath,F,36,29,South-eastern Asia,12
Jasmine,F,38,23,Australia and New Zealand,13
Shelia,F,33,29,Sub-Saharan Africa,14
Eloisa,F,11,16,Polynesia,28
Joya,F,37,4,Sub-Saharan Africa,26
Laverne,F,30,20,Australia and New Zealand,12
Noll,M,26,36,Western Asia,9
Drusi,F,22,4,Sub-Saharan Africa,14
Dion,F,24,26,Sub-Saharan Africa,18
Nicholas,M,35,9,Sub-Saharan Africa,13
Noble,M,20,6,Sub-Saharan Africa,13
Kristine,F,36,17,Latin America and the Caribbean,10
Pebrook,M,26,2,Sub-Saharan Africa,11
Van,M,36,13,Sub-Saharan Africa,1
Dennison,M,37,34,Latin America and the Caribbean,6
Courtney,F,9,26,Sub-Saharan Africa,8
Kerk,M,21,33,Polynesia,17
Jacky,F,38,19,Southern Europe,24
Orelie,F,8,38,Latin America and the Caribbean,13
Elden,M,36,6,Sub-Saharan Africa,16
Hans,M,19,6,Sub-Saharan Africa,14
Juanita,F,33,39,Eastern Europe,6
Alleyn,M,7,4,Latin America and the Caribbean,13
Katee,F,17,26,Latin America and the Caribbean,6
Bent,M,5,37,Western Asia,13
Theressa,F,27,13,Northern Europe,26
Bernardine,F,11,13,Eastern Europe,7
Grete,F,13,36,Western Europe,27
Marnia,F,2,5,Latin America and the Caribbean,15
Tatum,F,12,1,Latin America and the Caribbean,5
Jody,M,36,14,Northern Europe,5
Erhard,M,30,3,South-eastern Asia,1
Fin,M,23,40,Latin America and the Caribbean,5
Yul,M,16,5,Western Asia,9
Woodie,M,39,29,Latin America and the Caribbean,12
Bertha,F,31,34,Northern Europe,11
Emili,F,27,2,Polynesia,13
Xenos,M,13,19,Latin America and the Caribbean,25
Sukey,F,21,4,Polynesia,14
Michaelina,F,35,10,Eastern Europe,8
Kirbie,F,8,40,Latin America and the Caribbean,20
Raffaello,M,19,33,Eastern Europe,0
Sully,M,0,37,Sub-Saharan Africa,8
Eloisa,F,10,25,Latin America and the Caribbean,8
Francisca,F,34,24,Sub-Saharan Africa,13
Reeta,F,1,37,South-eastern Asia,18
Averill,M,11,21,Southern Asia,16
Prentice,M,13,17,Southern Europe,19
Janis,F,7,39,Western Asia,17
Marcelline,F,30,22,Australia and New Zealand,21
Norbert,M,11,19,Western Europe,16
Kathy,F,18,21,Sub-Saharan Africa,8
Lyn,M,17,5,Latin America and the Caribbean,-1
Craggy,M,27,41,Australia and New Zealand,12
Reese,M,31,26,South-eastern Asia,5
Ahmad,M,21,25,Western Asia,4
Lindsey,M,17,27,Western Asia,21
Ernie,M,25,41,Sub-Saharan Africa,8
Tripp,M,2,35,Latin America and the Caribbean,10
Franciskus,M,13,16,Sub-Saharan Africa,7
Loy,M,40,31,Eastern Europe,24
Debbie,F,5,20,Melanesia,9
Homer,M,14,29,Latin America and the Caribbean,-3
Ross,M,29,4,Western Asia,3
Eleanore,F,30,39,Northern Africa,1
Eliot,M,10,5,Sub-Saharan Africa,15
Leonardo,M,29,24,South-eastern Asia,7
Tabbatha,F,36,25,Latin America and the Caribbean,9
Xymenes,M,28,4,Sub-Saharan Africa,16
Marsiella,F,23,40,Western Europe,3
Darcy,M,3,26,Central Asia,23
Chickie,M,8,19,Latin America and the Caribbean,11
Dorene,F,22,37,Sub-Saharan Africa,10
Reginauld,M,14,30,Latin America and the Caribbean,-6
Damiano,M,30,1,Sub-Saharan Africa,3
Rosabelle,F,10,21,Latin America and the Caribbean,15
Fransisco,M,30,14,Sub-Saharan Africa,-2
Shena,F,31,35,Latin America and the Caribbean,2
Vincent,M,9,33,Sub-Saharan Africa,13
Dinny,F,39,23,Australia and New Zealand,13
Haydon,M,31,24,Polynesia,-2
Alisander,M,4,33,Latin America and the Caribbean,14
Carter,M,8,3,Sub-Saharan Africa,-6
Nicol,M,3,27,Southern Europe,3
Tudor,M,21,31,Sub-Saharan Africa,14
Barb,F,20,4,Latin America and the Caribbean,10
Ferrell,M,30,20,Central Asia,18
Walker,M,29,35,Western Asia,13
Benny,F,42,29,Sub-Saharan Africa,25
Abey,M,5,9,Latin America and the Caribbean,7
Daven,M,27,15,South-eastern Asia,20
Gwendolin,F,37,38,Sub-Saharan Africa,11
Marisa,F,32,5,Southern Europe,10
Latrina,F,20,14,Sub-Saharan Africa,10
Steffi,F,37,24,Eastern Asia,12
Shena,F,41,1,Southern Europe,12
Roxanna,F,13,5,Latin America and the Caribbean,13
Lenore,F,2,37,Melanesia,8
Aurelia,F,23,30,Latin America and the Caribbean,8
Kalil,M,15,25,Sub-Saharan Africa,19
Zelda,F,26,3,South-eastern Asia,14
Cass,M,8,38,Sub-Saharan Africa,10
Francesca,F,34,23,Western Asia,11
Genevieve,F,19,3,Northern Europe,5
